Name,Site,Why,LinkedIn jobs search
EVEN,https://www.even.biz,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=EVEN
Forte,https://fortelessons.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Forte
Giide,https://www.giide.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Giide
Groover,https://groover.co/en,вакансии только на Welcome to the Jungle,https://www.linkedin.com/jobs/search/?keywords=Groover
Halbestunde,https://halbestunde.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Halbestunde
Hangout FM (prev. Turntable LIVE),https://www.hangout.fm,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Hangout%20FM%20(prev.%20Turntable%20LIVE)
Hawkr,https://www.hawkrlive.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Hawkr
Highnote,https://www.highnote.fm,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Highnote
Hook,https://www.hookworld.io,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Hook
HustleSasa,https://hustlesasa.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=HustleSasa
Indify,https://www.indify.io,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Indify
Killphonic Rights,https://direct.killphonicrights.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Killphonic%20Rights
La Cupula Music,https://www.lacupulamusic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=La%20Cupula%20Music
Labelcamp,https://labelcamp.io,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Labelcamp
Labelgrid,https://labelgrid.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Labelgrid
Longform.ai,https://longform.ai,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Longform.ai
Magroove,https://artists.magroove.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Magroove
MasterExchange,https://www.masterexchange.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=MasterExchange
Medallion,https://www.medallion.fm,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Medallion
Mellomanic,https://mellomanic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Mellomanic
MNGRS.AI,https://www.mngrs.ai,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=MNGRS.AI
Mogul,https://www.usemogul.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Mogul
Mood,https://www.musicofourdesire.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Mood
Moombix,https://www.moombix.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Moombix
Musical AI,https://www.wearemusical.ai,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Musical%20AI
Nexro,https://www.nexro.io,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Nexro
Nitrility,https://www.nitrility.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Nitrility
ODD,https://oddballism.com/en-us,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=ODD
Overtune,https://www.overtune.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Overtune
Pianity,https://pianity.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Pianity
PUSH.fm,https://push.fm,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=PUSH.fm
Revoize,https://revoize.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Revoize
Ringo,https://www.thisisringo.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Ringo
Saarey,https://www.saareymusic.com,карьерной страницы нет (только главная),https://www.linkedin.com/jobs/search/?keywords=Saarey
Sesh,,нет сайта,https://www.linkedin.com/jobs/search/?keywords=Sesh
Setmixer,https://www.setmixer.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Setmixer
Showcase,https://www.showcasedaily.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Showcase
Slingshot,https://slingshot.fm,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Slingshot
Softside,https://beta.softsidemerch.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Softside
Sona,https://sona.stream,ссылка вела на чужой сайт,https://www.linkedin.com/jobs/search/?keywords=Sona
Songclip,https://www.songclip.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Songclip
SongPush,https://www.songpush.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=SongPush
Sound,https://www.sound.xyz,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Sound
SoundBirth,https://www.sound-birth.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=SoundBirth
Soundcharts,https://soundcharts.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Soundcharts
Soundful,https://soundful.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Soundful
Soundrop,https://soundrop.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Soundrop
SPOKE,https://www.spoke.world,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=SPOKE
Stanly,https://www.stanlyapp.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Stanly
Starmony,https://www.starmony.io,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Starmony
Strm,https://www.strmmusic.ai/en,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Strm
SUBMIX,https://www.submix.io,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=SUBMIX
SymphonyOS,https://www.symphonyos.co,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=SymphonyOS
SYNCHTANK,https://www.synchtank.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=SYNCHTANK
The Pack,https://partofthepack.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=The%20Pack
Too Lost,https://toolost.com,сайт не открылся,https://www.linkedin.com/jobs/search/?keywords=Too%20Lost
Un:Hurd Music,https://www.unhurdmusic.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Un:Hurd%20Music
Unchained Music,https://www.unchainedmusic.io,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Unchained%20Music
Unhurd,https://www.unhurd.co.uk,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Unhurd
Upsound,https://upsound.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Upsound
Volta,https://www.volta-xr.com,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Volta
Wondercraft,https://www.wondercraft.ai,карьерная страница не найдена,https://www.linkedin.com/jobs/search/?keywords=Wondercraft
